team,enemy,win,home,diff
GSW,POR,1,0,20.0
MIL,DET,1,0,20.0
GSW,ORL,1,0,20.0
MIA,CHA,1,1,17.0
OKC,MIA,1,0,17.0
BKN,ATL,1,0,17.0
GSW,POR,1,1,16.0
HOU,MEM,1,0,16.0
CLE,PHX,1,1,15.0
CLE,ORL,1,1,14.0
HOU,POR,1,1,13.0
LAC,NOP,1,0,13.0
CLE,NYK,1,1,13.0
MIL,IND,1,1,13.0
GSW,MIN,1,0,13.0
POR,LAL,1,1,12.0
MIL,WAS,1,0,12.0
POR,IND,1,1,12.0
SAS,DAL,1,0,9.0
ATL,NYK,1,1,9.0
GSW,MIL,1,1,9.0
IND,BKN,1,0,9.0
BKN,SAC,1,1,9.0
BKN,NYK,1,1,8.0
GSW,CLE,1,0,6.0
HOU,MIN,1,1,5.0
CLE,WAS,1,0,5.0
BOS,PHI,1,1,4.0
ATL,CHA,1,1,2.0
LAL,HOU,1,0,1.0
CLE,ATL,0,0,-1.0
WAS,HOU,0,0,-1.0
MIA,PHI,0,0,-4.0
GSW,OKC,0,0,-6.0
HOU,DEN,0,0,-6.0
CHA,HOU,0,0,-7.0
DAL,GSW,0,0,-8.0
POR,DAL,0,0,-12.0
GSW,SAC,1,1,31.0
UTA,BKN,1,1,30.0
MEM,CHA,1,1,16.0
BOS,ORL,1,1,16.0
ATL,BOS,1,1,15.0
DAL,UTA,1,1,8.0
POR,SAC,1,0,6.0
UTA,LAL,0,0,-12.0
CHA,MEM,1,1,61.0
MIL,OKC,1,1,47.0
CLE,TOR,1,1,45.0
DEN,NYK,1,0,37.0
MIN,OKC,1,0,37.0
HOU,CLE,1,0,32.0
DAL,MIL,1,1,32.0
TOR,NYK,1,1,28.0
SAC,CHA,1,1,30.0
MIN,OKC,1,1,30.0
HOU,DEN,1,1,26.0
TOR,POR,1,1,25.0
MIA,IND,1,1,29.0
BOS,SAC,1,0,29.0
HOU,NYK,1,0,22.0
SAC,LAC,1,0,21.0
MIA,PHX,1,0,23.0
CHA,NOP,1,0,22.0
MIN,SAC,1,0,20.0
HOU,GSW,1,1,17.0
MIN,MIL,1,1,19.0
HOU,LAL,1,1,16.0
CHA,GSW,1,1,15.0
SAC,LAL,1,0,14.0
CLE,NYK,1,0,14.0
GSW,TOR,1,1,15.0
SAC,POR,1,0,12.0
PHI,MIL,1,1,12.0
MIA,MIN,1,0,12.0
NOP,MEM,1,0,10.0
DEN,CLE,1,0,9.0
HOU,DAL,1,1,7.0
BKN,MIL,1,0,8.0
MIA,MIL,1,1,9.0
BKN,ATL,1,1,9.0
ATL,CHA,1,1,5.0
HOU,MIL,1,1,4.0
BKN,MIL,1,0,3.0
HOU,UTA,1,0,5.0
HOU,POR,1,0,4.0
HOU,BOS,1,1,3.0
DAL,HOU,0,1,-4.0
UTA,MIL,0,0,-4.0
MIN,CLE,0,0,-2.0
DAL,PHI,0,1,-2.0
DAL,GSW,0,1,-3.0
BOS,NOP,0,1,-3.0
BKN,LAC,0,0,-3.0
PHI,LAC,0,0,-6.0
POR,DAL,0,1,-8.0
UTA,DAL,0,1,-8.0
